,Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,LotFrontage,MasVnrArea,GarageYrBlt,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,KitchenQual,Functional,PavedDrive,SaleType,SaleCondition,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,GarageType,GarageFinish,GarageQual,GarageCond,Alley,FireplaceQu,PoolQC,Fence,MiscFeature
12,13,20,12968,5,6,46,46,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,9,14,144000,38.0,0.0,46.0,3,1,1,3,0,4,0,19,2,2,0,2,3,1,6,10,3,4,1,1,4,1,3,6,2,8,4,2,3,3,3,0,5,4,5,2,4,4,1,3,3,2,1
13,14,20,10652,7,5,1,0,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,3,840,160,33,0,0,0,0,0,8,13,279500,91.0,306.0,1.0,3,1,0,3,0,4,0,5,2,2,0,2,1,1,12,13,2,4,2,1,0,1,2,6,2,6,5,3,2,3,0,5,5,4,1,1,4,4,1,2,3,2,1
14,15,20,10920,6,5,48,48,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,5,14,157000,60.0,212.0,48.0,3,1,0,3,0,0,0,12,2,2,0,2,3,1,8,8,3,4,1,1,4,1,3,6,2,8,4,1,3,3,3,1,5,4,1,1,4,4,1,1,3,1,1
15,16,45,6120,7,8,78,6,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,2,576,48,112,0,0,0,0,0,7,11,132000,51.0,0.0,16.0,4,1,3,3,0,0,0,3,2,2,0,1,1,1,13,14,3,4,0,1,0,1,3,6,2,8,4,2,3,3,3,5,5,0,5,2,4,4,1,3,3,0,1
16,17,20,11241,6,7,40,40,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,3,15,149000,94.0,180.0,40.0,3,1,0,3,0,1,0,12,2,2,0,2,1,1,13,14,3,4,1,1,0,1,3,6,2,8,4,1,3,3,3,0,5,4,1,0,4,4,1,5,3,2,3
17,18,90,10791,4,5,39,39,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,10,13,90000,72.0,0.0,39.0,3,1,3,3,0,4,0,19,2,2,2,2,1,1,8,8,3,4,3,1,4,1,3,6,2,8,4,2,3,3,3,5,5,4,4,2,4,4,1,3,3,2,3
18,19,20,13695,5,5,4,4,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,0,0,6,12,159000,66.0,0.0,4.0,3,1,3,3,0,4,0,20,5,2,0,2,1,1,12,13,3,4,2,1,0,1,2,6,2,8,4,2,3,3,3,2,5,4,5,2,4,4,1,3,3,2,1
19,20,20,7560,5,6,51,44,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,0,0,0,0,0,0,0,5,15,139000,70.0,0.0,51.0,3,1,3,3,0,4,0,12,2,2,0,2,3,1,3,10,3,4,1,1,4,1,3,2,2,0,0,2,3,3,3,3,5,4,1,2,4,4,1,3,3,3,1
20,21,60,14215,8,5,1,0,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,11,14,325300,101.0,380.0,1.0,3,1,0,3,0,0,0,16,2,2,0,5,1,1,12,13,2,4,2,1,0,1,2,6,2,6,5,1,0,3,0,5,5,4,3,1,4,4,1,2,3,2,1
21,22,45,7449,7,7,77,57,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,0,0,205,0,0,0,0,6,13,139400,57.0,0.0,77.0,4,1,3,0,0,4,0,9,2,2,0,1,1,1,13,14,3,4,2,1,0,1,2,6,0,8,4,2,3,3,3,5,5,1,1,2,4,4,0,2,3,0,1
22,23,20,9742,8,5,6,6,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,171,159,0,0,0,0,0,9,14,230000,75.0,281.0,6.0,3,1,3,3,0,4,0,5,2,2,0,2,3,1,12,13,2,4,2,1,0,1,2,6,2,8,4,1,2,3,3,5,5,4,1,1,4,4,1,2,3,2,1
23,24,120,4224,5,7,31,31,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,6,11,129900,44.0,0.0,31.0,4,1,3,3,0,4,0,10,2,2,4,2,1,1,5,5,3,4,2,1,4,1,3,6,2,8,4,2,2,3,3,2,5,4,1,2,4,4,1,5,3,2,1
24,25,20,8246,5,8,42,9,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,5,12,154000,59.0,0.0,42.0,3,1,0,3,0,4,0,19,2,2,0,2,1,1,9,10,3,2,1,1,0,1,2,6,2,8,4,2,3,3,2,4,0,4,1,2,4,4,1,5,3,3,1
25,26,20,14230,8,5,2,2,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,7,11,256300,110.0,640.0,2.0,3,1,3,3,0,0,0,16,2,2,0,2,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,3,2,3,3,5,5,4,1,1,4,4,1,2,3,2,1
26,27,20,7200,5,7,59,10,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,0,0,5,11,134800,60.0,0.0,5.0,3,1,3,3,0,0,0,12,2,2,0,2,1,1,13,14,3,4,1,1,4,1,2,6,2,8,4,2,3,3,2,1,4,4,5,2,4,4,1,3,3,2,1
27,28,20,11478,8,5,3,2,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,0,50,0,0,0,0,0,5,15,306000,98.0,200.0,2.0,3,1,3,3,0,4,0,16,2,2,0,2,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,3,0,3,3,2,5,4,1,1,4,4,1,2,3,2,1
28,29,20,16321,5,6,49,9,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,288,258,0,0,0,0,0,12,13,207500,47.0,0.0,49.0,3,1,0,3,0,1,0,12,2,2,0,2,1,1,8,8,3,4,1,1,4,1,3,6,2,8,4,2,3,3,1,1,5,4,1,1,4,4,1,2,3,2,1
29,30,30,6324,4,6,81,58,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,49,0,87,0,0,0,0,5,13,68500,60.0,0.0,88.0,4,1,0,3,0,4,0,3,1,7,0,2,1,1,8,8,3,4,0,1,1,0,1,6,2,8,4,2,3,3,3,5,5,4,5,2,1,4,1,3,3,2,1
30,31,70,8500,4,4,88,58,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,7,13,40000,50.0,0.0,88.0,0,1,3,3,0,4,0,9,1,2,0,5,2,1,3,3,3,1,0,1,4,0,3,6,0,8,4,2,3,3,3,5,5,4,5,2,4,1,2,3,3,3,1
31,32,20,8544,5,6,42,2,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,0,65,0,0,0,0,0,6,13,149350,80.0,0.0,42.0,3,1,0,3,0,1,0,19,2,2,0,2,1,1,6,6,3,4,1,1,2,1,2,6,2,8,4,2,3,3,3,5,5,4,1,2,4,4,1,3,3,3,1
32,33,20,11049,8,5,1,1,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,0,30,0,0,0,0,0,1,11,179900,85.0,0.0,1.0,3,1,3,3,0,0,0,5,2,2,0,2,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,2,0,3,0,5,5,4,1,1,4,4,1,3,3,2,1
33,34,20,10552,5,5,51,51,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,4,14,165500,70.0,0.0,51.0,3,1,0,3,0,4,0,12,2,2,0,2,3,1,3,3,3,4,1,1,2,1,2,6,2,8,4,2,3,3,3,4,5,4,1,1,4,4,1,2,3,2,1
34,35,120,7313,9,5,2,2,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,203,47,0,0,0,0,0,8,15,277500,60.0,246.0,2.0,3,1,3,3,0,4,0,16,2,2,4,2,3,1,8,8,0,4,2,1,0,1,0,6,2,8,4,1,0,3,3,2,5,4,1,0,4,4,1,2,3,2,1
35,36,60,13418,8,5,2,1,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,9,12,309000,108.0,132.0,2.0,3,1,3,3,0,4,0,16,2,2,0,5,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,3,0,3,0,5,5,4,3,0,4,4,1,2,3,2,1
36,37,20,10859,5,5,15,14,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,6,12,145000,112.0,0.0,14.0,3,1,3,3,0,0,0,5,2,2,0,2,1,1,12,13,3,4,2,1,0,1,3,6,2,8,4,2,2,3,3,5,5,4,1,2,4,4,1,3,3,2,1
37,38,20,8532,5,6,55,19,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,10,11,153000,74.0,650.0,55.0,3,1,3,3,0,4,0,12,2,2,0,2,3,1,13,14,3,4,1,1,2,1,3,6,2,8,4,1,3,3,3,4,5,4,1,0,4,4,1,5,3,2,1
38,39,20,7922,5,7,57,3,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,1,13,109000,68.0,0.0,57.0,3,1,3,3,0,4,0,12,2,2,0,2,1,1,12,13,3,2,1,1,4,1,2,6,2,8,0,2,3,3,3,2,5,4,5,2,4,4,1,3,3,2,1
39,40,90,6040,4,5,53,53,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,6,15,82000,65.0,0.0,38.0,3,1,3,3,0,4,0,7,2,2,2,2,1,1,0,10,3,4,2,1,4,0,1,6,0,8,1,2,3,3,3,5,5,2,1,2,4,4,1,3,3,2,1
40,41,20,8658,6,5,41,41,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,12,14,160000,84.0,101.0,41.0,3,1,3,3,0,4,0,12,2,2,0,2,1,1,13,14,3,4,1,1,0,1,3,6,2,8,0,1,3,3,3,4,5,4,1,1,4,4,1,5,3,1,1
41,42,20,16905,5,6,48,48,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,7,14,170000,115.0,0.0,48.0,3,1,3,3,0,4,0,23,2,2,0,2,1,1,12,13,3,2,1,1,2,1,3,6,1,8,4,2,3,3,1,1,5,4,1,1,4,4,1,2,3,2,1
42,43,85,9180,5,7,24,24,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,12,13,144000,70.0,0.0,24.0,3,1,0,3,0,1,0,20,2,2,0,6,1,1,6,6,3,4,1,1,2,1,2,6,2,8,4,2,2,3,0,0,3,4,1,1,4,2,1,3,3,3,1
43,44,20,9200,5,6,33,28,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,7,15,130250,65.0,0.0,31.0,3,1,0,3,0,1,0,5,2,2,0,2,3,1,12,13,3,4,1,1,4,1,3,6,2,8,4,2,2,3,0,3,1,4,5,2,4,4,1,3,3,3,1
44,45,20,7945,5,6,47,47,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,5,11,141000,70.0,0.0,47.0,3,1,3,3,0,4,0,12,2,2,0,2,1,1,3,14,3,4,1,1,0,1,3,6,2,8,4,2,3,3,3,0,1,0,1,1,4,4,1,3,3,2,1
45,46,120,7658,9,5,5,5,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,2,12,319900,61.0,412.0,5.0,3,1,3,3,0,4,0,16,2,2,4,2,3,1,8,8,0,4,2,1,0,1,0,6,2,8,4,1,0,3,3,2,5,4,1,1,4,4,1,2,3,2,1
46,47,50,12822,7,5,6,6,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,8,14,239686,48.0,0.0,6.0,3,1,0,3,0,1,0,11,2,2,0,0,1,1,12,13,2,4,2,1,0,1,2,6,2,8,0,2,0,3,3,2,5,4,1,1,4,4,1,0,3,2,1
47,48,20,11096,8,5,1,1,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,7,12,249700,84.0,0.0,1.0,1,1,3,3,0,4,0,21,2,2,0,2,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,2,2,3,0,2,5,4,1,1,4,4,1,3,3,2,1
48,49,190,4456,4,5,89,1,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,6,14,113000,33.0,0.0,66.0,4,1,3,3,0,4,0,17,2,2,1,5,1,1,8,8,3,4,0,1,2,1,3,6,0,6,5,2,3,3,3,5,5,4,1,2,4,4,1,3,3,2,1
49,50,20,7742,5,7,41,41,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1,386,0,0,0,0,0,0,0,1,14,127000,66.0,0.0,41.0,3,1,3,3,0,4,0,19,2,2,0,2,1,1,6,6,3,4,1,1,0,1,3,6,2,8,4,2,3,3,3,1,5,4,1,2,4,4,1,3,3,3,1
50,51,60,13869,6,6,10,10,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,2,388,0,75,0,0,0,0,0,7,15,177000,57.0,0.0,10.0,3,1,1,3,0,0,0,8,2,2,0,5,1,1,12,13,3,4,2,1,2,1,3,6,2,8,4,2,2,3,0,2,5,4,1,0,4,4,1,3,3,2,1
51,52,50,6240,6,6,72,56,0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,2,528,112,0,0,0,0,0,400,9,11,114500,52.0,0.0,21.0,4,1,3,3,0,4,0,3,2,2,0,0,1,1,13,14,3,4,2,1,4,1,3,6,2,8,4,2,3,3,3,5,5,4,5,2,4,4,1,2,3,3,3
52,53,90,8472,5,5,47,47,104,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,2,516,106,0,0,0,0,0,0,5,15,110000,110.0,0.0,47.0,4,0,1,0,0,0,1,9,8,2,2,2,1,1,13,14,1,4,1,1,4,0,3,6,2,8,4,2,2,3,1,3,2,4,4,2,4,4,1,3,3,2,1
53,54,20,50271,9,5,25,19,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,3,894,857,72,0,0,0,0,0,11,14,385000,68.0,0.0,25.0,3,1,0,2,0,4,0,24,2,2,0,2,1,7,14,15,2,4,1,1,2,1,2,6,2,8,4,2,0,3,1,2,5,4,1,0,4,4,1,2,3,2,1
54,55,80,7134,5,5,52,52,384,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,2,572,0,50,0,0,0,0,0,2,13,130000,60.0,0.0,45.0,3,1,3,0,0,4,1,12,2,2,0,7,1,1,8,8,3,4,1,1,4,1,3,2,2,8,4,2,3,3,3,0,5,4,5,2,4,4,1,5,3,3,1
55,56,20,10175,6,5,44,44,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,2,576,0,0,0,407,0,0,0,7,12,180500,100.0,272.0,44.0,3,1,0,3,0,4,0,12,2,2,0,2,1,1,6,10,3,4,1,1,2,1,3,6,2,8,4,1,3,3,3,1,5,4,1,1,4,4,1,2,3,2,1
56,57,160,2645,8,5,10,9,649,0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,2,480,115,0,0,0,0,0,0,8,15,172500,24.0,456.0,10.0,1,1,3,3,0,4,0,21,2,2,3,5,1,1,8,8,2,4,2,1,0,1,2,6,2,8,0,1,2,3,3,2,5,4,1,0,4,4,2,3,3,2,1
57,58,60,11645,7,5,2,2,0,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2,565,0,70,0,0,0,0,0,8,15,196500,89.0,0.0,2.0,3,1,0,3,0,0,0,5,2,2,0,5,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,2,2,3,3,5,5,4,1,1,4,4,1,3,3,2,1
58,59,60,13682,10,5,0,0,0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,3,641,192,0,37,0,0,0,0,10,13,438780,66.0,1031.0,0.0,3,1,1,1,0,1,0,22,2,2,0,5,3,1,12,13,0,4,2,1,0,1,2,6,2,6,5,1,0,3,1,5,5,4,3,0,4,4,1,2,3,2,1
59,60,20,7200,5,7,36,36,632,0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1,352,196,0,0,0,0,0,0,1,15,124900,60.0,0.0,35.0,3,1,3,0,0,4,0,5,2,2,0,2,1,1,6,6,3,4,1,1,0,1,3,6,2,8,4,2,3,3,0,0,5,4,5,2,4,4,1,3,3,3,1
60,61,20,13072,6,5,2,2,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2,576,0,50,0,0,0,0,0,5,14,158000,63.0,0.0,0.0,3,1,3,3,0,4,0,20,5,2,0,2,1,1,12,13,3,4,2,1,0,1,2,6,2,6,5,2,2,3,3,0,5,4,5,2,4,4,1,3,3,2,1
61,62,75,7200,5,7,87,11,0,0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,1,288,0,0,144,0,0,0,0,3,14,101000,60.0,0.0,72.0,4,1,3,3,0,4,0,9,2,2,0,4,1,1,8,8,3,4,0,1,4,0,1,6,0,8,4,2,3,0,3,5,5,4,5,2,4,4,1,3,3,2,1
62,63,120,6442,8,5,1,1,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2,484,120,49,0,0,0,0,0,10,11,202500,44.0,178.0,1.0,3,1,0,3,0,4,0,16,2,2,4,2,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,3,2,1,2,2,5,4,1,1,4,4,1,2,3,2,1
63,64,70,10300,7,6,89,60,0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,2,480,12,11,64,0,0,0,0,4,12,140000,50.0,0.0,20.0,4,1,0,0,0,4,0,17,6,1,0,5,1,1,11,12,3,4,0,1,2,1,3,6,2,8,4,2,3,3,3,5,5,4,5,2,4,4,1,3,3,0,1
64,65,60,9375,7,5,12,11,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,2,645,576,36,0,0,0,0,0,2,14,219500,75.0,573.0,11.0,3,1,3,3,0,4,0,5,2,2,0,5,1,1,12,13,3,4,2,1,0,1,2,6,2,8,4,1,2,3,3,2,5,4,1,1,4,4,1,3,3,0,1
65,66,60,9591,8,5,3,2,0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,3,852,192,151,0,0,0,0,0,10,11,317000,76.0,344.0,3.0,3,1,3,3,0,4,0,16,2,2,0,5,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,1,0,3,0,5,5,4,3,1,4,4,1,2,3,2,1
66,67,20,19900,7,5,40,21,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,2,576,301,0,0,0,0,0,0,7,14,180000,50.0,287.0,40.0,3,1,3,3,0,4,0,12,3,2,0,2,1,1,9,10,3,4,1,1,4,1,3,2,2,8,4,1,2,3,1,2,5,4,1,1,4,4,1,2,3,2,1
67,68,20,10665,7,5,4,4,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2,558,144,29,0,0,0,0,0,6,11,226000,72.0,167.0,4.0,3,1,0,3,0,4,0,5,2,2,0,2,1,1,12,13,2,4,2,1,0,1,2,6,2,8,4,1,2,3,0,2,5,4,1,1,4,4,1,3,3,2,1
68,69,30,4608,4,6,65,60,0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1,220,0,0,0,0,0,0,0,6,15,80000,47.0,0.0,65.0,4,1,3,3,0,0,0,17,0,2,0,2,1,1,8,8,3,2,1,1,4,1,3,6,2,8,4,2,3,3,3,5,5,4,1,2,4,4,1,3,3,2,1
69,70,50,15593,7,4,53,53,603,0,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,2,667,0,21,114,0,0,0,0,7,14,225000,81.0,0.0,53.0,3,1,3,3,0,0,0,4,2,2,0,0,1,1,3,0,2,4,1,2,4,1,3,6,2,8,4,2,3,3,3,1,5,4,1,0,4,4,1,5,3,2,1
70,71,20,13651,7,6,34,34,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,2,516,300,0,0,0,0,0,0,2,14,244000,95.0,1115.0,34.0,3,1,0,3,0,4,0,12,2,2,0,2,1,1,9,10,3,2,1,1,0,1,3,6,2,8,4,1,2,3,1,0,5,4,1,0,4,4,1,2,3,2,1
71,72,20,7599,4,6,25,1,565,0,280,845,845,0,0,845,1,0,1,0,2,1,4,0,2,360,0,0,0,0,0,0,0,6,12,129500,69.0,0.0,20.0,3,1,3,3,0,0,0,11,2,2,0,2,1,1,6,10,3,4,1,1,4,1,3,6,2,8,4,2,3,3,3,0,5,4,5,2,4,4,1,3,3,2,1
72,73,60,10141,7,5,11,11,0,0,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,2,427,0,94,0,0,291,0,0,12,11,185000,74.0,40.0,11.0,3,1,0,3,0,0,0,8,2,2,0,5,1,1,12,13,3,4,2,1,2,1,3,6,2,8,4,1,2,3,3,5,5,4,1,0,4,4,1,5,3,2,1
